,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
110,110,9.562,2.811,3.679,50.072,25.0,6.385,9.31,4.159,6.448,0.652,3.109,6.608,6.7,10.1,,,,,,,,,,
111,111,9.5,2.9,4.066,50.058,25.0,6.319,9.399,3.314,6.497,0.742,4.606,6.527,6.7,10.2,,,,,,,,,,
112,112,9.564,3.087,4.625,0.0,25.001,-1.0,9.556,6.484,6.635,0.886,2.835,6.606,6.6,9.3,,,,,,,,,,
113,113,9.589,3.187,3.965,49.995,25.0,6.655,9.646,4.327,6.572,0.981,3.131,6.645,6.9,9.2,,,,,,,,,,
114,114,9.603,3.294,3.114,50.053,25.0,6.6,9.746,4.052,6.473,1.084,3.398,6.673,6.9,9,,,,,,,,,,
115,115,9.753,3.39,3.436,50.055,25.0,6.612,9.837,6.22,6.623,1.18,3.506,6.68,7.1,8.9,,,,,,,,,,
116,116,9.605,3.48,3.885,50.063,25.0,6.586,9.932,6.719,6.494,1.274,4.118,6.552,7,9.3,,,,,,,,,,
117,117,9.672,3.567,3.275,50.067,25.0,6.623,10.026,6.038,6.546,1.367,2.948,6.607,7.4,9.4,,,,,,,,,,
118,118,9.731,3.658,4.06,0.0,0.0,-1.0,10.123,6.089,6.708,1.46,5.642,6.739,7.5,9.4,,,,,,,,,,
119,119,9.868,3.751,4.427,50.076,25.0,6.825,10.219,5.7,6.931,0.004,362.585,6.765,7.8,8.6,,,,,,,,,,
120,120,10.113,3.846,3.487,50.098,25.0,7.039,10.315,7.416,7.033,0.102,4.227,6.95,8.1,7.7,,,,,,,,,,
121,121,10.125,3.939,4.555,50.138,25.0,7.054,10.413,6.205,7.102,0.199,2.528,6.877,8,7.4,,,,,,,,,,
122,122,10.14,4.036,4.17,50.117,25.0,7.038,10.507,6.148,7.07,0.287,3.883,6.994,8.1,7.6,,,,,,,,,,
123,123,10.726,4.12,5.155,50.07,25.0,7.194,10.596,7.077,7.277,0.374,3.417,7.266,8.5,7.3,,,,,,,,,,
124,124,11.365,4.191,5.558,50.067,25.0,7.546,10.69,6.802,7.399,0.463,4.473,7.639,8.4,6.9,,,,,,,,,,
125,125,12.068,4.28,4.842,50.068,25.0,7.878,10.781,4.733,7.759,0.557,5.96,7.981,7.9,6.8,,,,,,,,,,
126,126,12.719,4.37,5.047,50.07,25.0,8.144,10.867,7.687,7.948,0.654,4.615,8.382,7.8,7,,,,,,,,,,
127,127,12.986,4.459,4.942,50.057,25.0,8.186,10.961,7.781,8.184,0.743,5.023,8.486,7.6,7.3,,,,,,,,,,
128,128,12.561,4.643,5.714,49.98,25.0,8.11,11.116,6.96,7.999,0.885,4.715,8.283,7.3,7.1,,,,,,,,,,
129,129,13.19,4.747,5.334,49.989,25.0,8.509,11.203,7.616,8.455,0.981,3.67,8.691,7.4,-1,,,,,,,,,,
130,130,12.812,4.856,4.86,50.049,25.0,8.332,11.305,6.585,8.428,-0.473,5667.095,8.426,7.2,-1,,,,,,,,,,
131,131,12.139,4.952,5.259,50.057,25.0,7.887,11.397,6.02,7.863,1.185,3.357,8.066,6.9,-1,,,,,,,,,,
132,132,11.802,5.044,4.534,50.058,25.0,7.812,11.496,4.397,7.778,1.279,5.296,7.778,6.7,7.8,,,,,,,,,,
133,133,11.503,5.132,5.649,50.067,25.0,7.594,11.59,5.796,7.525,1.373,3.03,7.65,6.6,7.7,,,,,,,,,,
134,134,11.05,5.219,4.424,50.074,25.0,7.281,11.681,5.671,7.418,1.463,4.996,7.401,6.4,7.7,,,,,,,,,,
135,135,10.799,5.314,3.807,50.075,25.0,7.363,11.774,6.652,7.326,0.669,773.241,7.224,6.2,8,,,,,,,,,,
136,136,10.341,5.408,4.675,50.095,25.0,7.147,11.867,5.679,7.132,0.101,4.19,6.981,6.3,8.8,,,,,,,,,,
137,137,9.998,5.506,3.958,50.133,25.0,6.917,11.964,4.122,6.756,0.196,5.253,6.786,6.5,9.1,,,,,,,,,,
138,138,9.339,5.602,4.199,0.0,0.0,-1.0,12.06,6.011,6.538,0.29,2.779,6.467,6.6,9.4,,,,,,,,,,
139,139,9.371,5.686,4.649,50.07,25.0,6.446,12.149,6.031,6.44,0.377,4.184,6.449,6.6,9.5,,,,,,,,,,
140,140,9.403,5.758,3.666,50.065,25.0,6.482,12.245,6.488,6.581,0.465,5.678,6.439,6.7,9.9,,,,,,,,,,
141,141,9.25,5.849,4.712,50.064,25.0,6.37,12.341,5.452,6.405,0.562,4.695,6.382,6.5,10.3,,,,,,,,,,
142,142,9.698,5.939,3.991,50.06,25.0,6.369,12.434,6.135,6.369,0.655,4.579,6.587,6.7,10.2,,,,,,,,,,
143,143,9.796,6.029,4.191,50.048,25.0,6.507,0.029,4.877,6.428,0.745,4.124,6.647,6.6,10.2,,,,,,,,,,
144,144,9.559,6.209,3.186,0.0,24.998,-1.0,0.211,4.466,6.373,0.89,3.202,6.556,6.7,9.4,,,,,,,,,,
145,145,9.717,6.312,4.579,49.983,25.0,6.563,0.306,4.167,6.511,0.987,3.479,6.586,6.7,9.4,,,,,,,,,,
146,146,9.693,6.421,4.551,50.045,25.0,6.533,0.404,3.488,6.511,1.09,3.656,6.588,6.8,9.1,,,,,,,,,,
147,147,9.671,6.518,3.905,0.0,0.0,-1.0,0.496,5.414,6.48,1.186,4.581,6.537,6.9,9.1,,,,,,,,,,
148,148,9.617,6.61,4.269,50.048,25.0,6.587,0.585,5.397,6.494,1.279,5.04,6.59,6.9,9.4,,,,,,,,,,
149,149,9.719,6.704,4.031,50.06,25.0,6.542,0.675,4.711,6.558,1.375,3.938,6.615,7.2,9.5,,,,,,,,,,
150,150,9.76,6.795,3.287,50.065,25.0,6.684,0.764,4.185,6.537,1.463,4.029,6.623,7.4,9.4,,,,,,,,,,
151,151,9.95,6.887,4.332,50.064,25.0,6.695,0.858,6.083,6.711,0.026,3.166,6.721,7.7,8.7,,,,,,,,,,
152,152,10.054,6.982,4.096,50.083,25.0,6.708,0.953,4.344,6.668,0.124,3.809,6.815,7.9,7.9,,,,,,,,,,
153,153,10.132,7.072,4.034,50.118,25.0,6.705,1.047,4.908,6.851,0.22,3.751,6.871,7.9,7.5,,,,,,,,,,
154,154,10.049,7.172,4.486,50.104,25.0,6.889,1.141,5.484,6.929,0.311,2.976,6.739,7.6,7.8,,,,,,,,,,
155,155,10.778,7.24,5.126,50.06,25.0,7.19,1.228,3.884,7.136,0.4,3.793,7.142,8.2,7.4,,,,,,,,,,
156,156,11.168,7.325,4.815,50.061,25.0,7.385,1.326,4.615,7.375,0.487,4.07,7.316,8,7,,,,,,,,,,
157,157,12.114,7.419,5.789,50.058,25.0,7.583,1.416,4.984,7.566,0.578,5.179,7.758,8,-1,,,,,,,,,,
158,158,12.483,7.515,5.661,50.055,25.0,7.833,1.508,4.248,7.856,0.674,3.448,8.083,7.6,-1,,,,,,,,,,
159,159,12.75,7.606,5.07,50.042,25.0,7.925,1.596,4.1,7.731,0.764,4.862,8.238,7.6,-1,,,,,,,,,,
160,160,12.364,7.772,5.107,49.955,25.0,7.923,1.771,4.931,7.801,0.911,5.08,8.026,7.2,-1,,,,,,,,,,
161,161,13.169,7.872,5.888,49.964,25.0,8.184,1.859,4.798,8.307,1.007,4.699,8.435,7.2,7.7,,,,,,,,,,
162,162,12.835,7.978,5.6,50.029,25.0,8.102,1.959,6.125,8.232,1.116,4.913,8.261,7,8,,,,,,,,,,
163,163,11.696,8.079,4.355,50.043,25.0,7.828,2.052,5.801,7.985,1.213,3.522,7.664,7,8,,,,,,,,,,
